Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,KOR,GtCO2/yr,0.784572,0.588429,0.392286,0.264429,0.220453,0.182841,0.150306,0.121912,0.0973774,0.0764124,0.058411,0.04307,0.0306507,0.0212041,0.0145393,0.0102741,0.00753126,0.0280621,0.0280617,0.0280616,0.0280614,0.0280613,0.0280612,0.0280611,0.028061,0.0280608,0.0280605
regional_emissions,CHN,GtCO2/yr,11.3913,8.54349,5.69566,3.45116,2.65536,1.95464,1.34771,0.841647,0.425671,0.0857881,-0.177651,-0.364195,-0.48789,-0.569777,-0.622399,-0.652983,-0.666136,-0.25547,-0.255471,-0.255471,-0.255471,-0.255471,-0.255471,-0.255471,-0.255471,-0.255471,-0.255472
regional_emissions,SEAS,GtCO2/yr,1.51417,1.13563,1.16882,1.14676,1.07794,0.990085,0.921034,0.889053,0.862035,0.816994,0.771427,0.736362,0.689909,0.621853,0.560624,0.526193,0.50666,0.675584,0.675584,0.675584,0.675584,0.675583,0.675583,0.675583,0.675583,0.675583,0.675583
regional_emissions,INDO,GtCO2/yr,1.63506,1.22629,0.968625,0.901162,0.822946,0.721899,0.628413,0.562582,0.511278,0.461097,0.406381,0.347558,0.292857,0.247048,0.208273,0.175042,0.146967,0.215119,0.215119,0.215118,0.215118,0.215118,0.215118,0.215118,0.215118,0.215118,0.215117
regional_emissions,JAP,GtCO2/yr,1.06462,0.798468,0.532312,0.266156,0.190457,0.159567,0.132655,0.107865,0.083736,0.0600193,0.0381343,0.019319,0.0036061,-0.0097863,-0.0211656,-0.0302969,-0.0373914,0.0011815,0.00118115,0.00118097,0.00118085,0.00118074,0.00118064,0.00118053,0.00118041,0.00118025,0.00117995
regional_emissions,OCE,GtCO2/yr,0.388396,0.291297,0.194198,0.097099,0.0389334,0.0215256,0.00380435,-0.0107826,-0.0229308,-0.037773,-0.053659,-0.063316,-0.0689002,-0.0774544,-0.0883212,-0.0978465,-0.105521,-0.0766961,-0.0766964,-0.0766966,-0.0766967,-0.0766968,-0.0766969,-0.076697,-0.0766971,-0.0766973,-0.0766976
regional_emissions,RSAS,GtCO2/yr,0.417044,0.403428,0.475245,0.53794,0.601703,0.675567,0.763128,0.861455,0.951548,1.01958,1.07264,1.11847,1.15626,1.18505,1.20605,1.22131,1.23587,1.6394,1.6394,1.6394,1.6394,1.6394,1.6394,1.6394,1.6394,1.6394,1.6394
regional_emissions,RSAF,GtCO2/yr,0.786528,0.589896,0.576149,0.796623,0.963405,0.876442,0.680935,0.54767,0.501047,0.524524,0.584324,0.649187,0.697313,0.719584,0.729249,0.738156,0.748804,0.980072,0.980072,0.980072,0.980072,0.980072,0.980072,0.980072,0.980072,0.980071,0.980071
baseline,CAN,GtCO2/yr,0.511577,0.518493,0.536163,0.55367,0.563767,0.538388,0.514469,0.529097,0.565197,0.595752,0.60745,0.594701,0.569128,0.546167,0.538983,0.55513,0.582096,0.609922,0.629647,0.647388,0.663118,0.676339,0.687103,0.69559,0.701934,0.706141,0.707786
baseline,USA,GtCO2/yr,5.39382,5.15587,4.93016,4.77594,4.7549,4.8205,4.88279,4.92294,4.93148,4.90553,4.86015,4.81915,4.82086,4.8901,4.98349,5.05499,5.11583,5.22647,5.29185,5.34637,5.39126,5.42958,5.46121,5.48553,5.50306,5.51417,5.51756
baseline,MEX,GtCO2/yr,0.572878,0.589478,0.617597,0.668278,0.716334,0.738064,0.749522,0.771233,0.80419,0.842953,0.87566,0.89274,0.899571,0.905453,0.920744,0.95222,0.991637,1.03254,1.06623,1.09551,1.12072,1.14211,1.15969,1.1735,1.18378,1.19061,1.19324
baseline,RCAM,GtCO2/yr,0.302334,0.320237,0.339359,0.357656,0.383572,0.427561,0.490633,0.569235,0.651089,0.724232,0.785599,0.835462,0.878442,0.918886,0.95606,0.988992,1.02068,1.05774,1.09036,1.11778,1.1407,1.16028,1.1765,1.18915,1.19848,1.20462,1.20681
baseline,BRA,GtCO2/yr,1.57743,1.61372,1.69487,1.86983,2.06438,2.15625,2.09598,1.88513,1.62531,1.43508,1.39605,1.52496,1.62382,1.5243,1.3726,1.33808,1.36716,1.37919,1.36884,1.36428,1.36408,1.36212,1.35889,1.35613,1.35375,1.35132,1.34883
baseline,RSAM,GtCO2/yr,1.38348,1.5481,1.63248,1.61825,1.67856,1.91167,2.09549,2.03193,1.89045,1.87248,1.9497,2.0431,2.09809,2.08617,2.05712,2.06312,2.08908,2.11926,2.13503,2.14897,2.16128,2.17092,2.17807,2.18315,2.18634,2.18758,2.18638
baseline,NAF,GtCO2/yr,0.583268,0.659431,0.722307,0.764814,0.788321,0.800297,0.828799,0.89648,0.986606,1.07539,1.14806,1.19788,1.23958,1.28869,1.34484,1.40444,1.4663,1.53421,1.59082,1.63831,1.67757,1.71012,1.73597,1.75491,1.76745,1.77385,1.7729
baseline,WAF,GtCO2/yr,1.817,2.76431,3.2611,2.98064,2.55878,2.6032,2.65919,2.25567,1.90182,2.15615,2.81804,3.56514,4.32279,5.0828,5.85373,6.6439,7.44789,8.26804,9.01124,9.64494,10.1812,10.6391,11.0184,11.3161,11.5377,11.6858,11.7451
baseline,EAF,GtCO2/yr,0.283526,0.466223,0.600389,0.623459,0.590676,0.571813,0.577643,0.606993,0.669954,0.779983,0.953902,1.20457,1.52702,1.90176,2.26839,2.57766,2.86049,3.15928,3.43521,3.66749,3.86172,4.02801,4.16606,4.27404,4.35403,4.40721,4.42788
baseline,SAF,GtCO2/yr,0.507151,0.553234,0.566274,0.568067,0.579897,0.618283,0.666174,0.702642,0.72377,0.730801,0.729207,0.724819,0.720871,0.719324,0.719821,0.721575,0.72421,0.731837,0.734752,0.736854,0.738292,0.739227,0.739669,0.739611,0.739102,0.738162,0.736683
baseline,WEU,GtCO2/yr,3.13174,2.97458,2.83825,2.75429,2.79296,2.95224,3.18078,3.41242,3.59156,3.6885,3.76579,3.87869,3.96105,3.95349,3.94488,4.02754,4.15859,4.29951,4.39826,4.48682,4.56537,4.63209,4.68718,4.73137,4.76532,4.78905,4.8004
baseline,CEU,GtCO2/yr,0.784933,0.759999,0.737396,0.747413,0.777017,0.79798,0.814391,0.833208,0.846779,0.846667,0.835555,0.817185,0.787792,0.746263,0.710139,0.695046,0.690041,0.683643,0.672712,0.663674,0.656318,0.649559,0.643518,0.638523,0.634525,0.631434,0.629419
baseline,TUR,GtCO2/yr,0.435783,0.491709,0.525852,0.536413,0.538204,0.549638,0.574195,0.609506,0.644673,0.669746,0.686414,0.699178,0.712309,0.727455,0.736304,0.731753,0.721115,0.714987,0.708873,0.702593,0.696428,0.690992,0.686278,0.682155,0.678625,0.675717,0.673504
baseline,UKR,GtCO2/yr,0.403864,0.403151,0.412194,0.454515,0.494588,0.503524,0.503321,0.517629,0.530506,0.523688,0.507174,0.494663,0.486111,0.479025,0.475401,0.477199,0.481657,0.488203,0.491534,0.494444,0.49698,0.499058,0.500695,0.501939,0.502819,0.503336,0.503397
