SSP,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
SSP1,BRA,0.408426443465943,0.446474126479505,0.469866401542719,0.496520859863702,0.518306440812484,0.543546138423959,0.5630279680090481,0.5856550662577,0.6023345527451399,0.62259443000204,0.638006560121208,0.6576419418250409,0.672475872501687,0.687055216851089,0.705538085084044,0.7195462319843059,0.7349551935745939,0.7489633404748558,0.7615706726850915,0.772777190205301,0.7825828930354843,0.7909877811756415,0.7979918546257725,0.8035951133858772,0.8077975574559557,0.8105991868360081,0.8120000015260342
SSP1,CAN,0.72403697264813,0.741392454024355,0.754723035722993,0.767635380249038,0.780008944649016,0.791698667274011,0.7987063381704619,0.809698316968593,0.816576378133115,0.827658879386408,0.834644824860621,0.841319405658574,0.848137626948838,0.854789034872232,0.861676456747003,0.86832603840713,0.8756405782332697,0.8822901598933967,0.8882747833875109,0.8935944487156124,0.8982491558777013,0.9022389048737774,0.9055636957038409,0.9082235283678917,0.9102184028659297,0.9115483191979551,0.9122132773639677
SSP1,CEU,0.5338110367076495,0.566032879006981,0.5841438407234149,0.6015727379504668,0.6176819227370229,0.6335946524380995,0.6492060059897503,0.6629887543922458,0.6768908595700519,0.6905761945976171,0.7068322512159011,0.7203948575585882,0.73353498465157,0.7462819368433781,0.756978153052274,0.7688043925706,0.7818132560407585,0.7936394955590844,0.8042831111255778,0.8137441027402386,0.8220224704030668,0.8291182141140623,0.8350313338732253,0.8397618296805557,0.8433097015360534,0.8456749494397187,0.8468575733915512
SSP1,CHN,0.46404931715769565,0.5031058927889793,0.5300251156463577,0.5493992181788597,0.5707904904272696,0.5911255259002929,0.6061903629197317,0.6250091944395699,0.643363363004281,0.6615278786437844,0.6791982231265634,0.6964092969676207,0.7089181220691382,0.7255705554257798,0.7417625318145215,0.7536205316645906,0.7666643314996667,0.7785223313497359,0.7891945312147982,0.7986809310948536,0.806981530989902,0.8140963308999435,0.8200253308249781,0.8247685307650058,0.8283259307200266,0.8306975306900404,0.8318833306750473
SSP1,EAF,0.28897270462252544,0.32820051406310163,0.35195677341749165,0.37602287747619817,0.40022273134218234,0.4235550345227277,0.44819909827852655,0.47158384494026084,0.4948290972547396,0.5169199300567682,0.5368202089158304,0.5579688713309483,0.5763396416850859,0.5951560555821933,0.6128090773453994,0.6281719505280493,0.6450711110289642,0.6604339842116141,0.6742605700759992,0.6865508686221191,0.6973048798499741,0.7065226037595641,0.7142040403508891,0.7203491896239491,0.7249580515787442,0.7280306262152741,0.7295669135335391
SSP1,INDIA,0.368644527446069,0.429466524804052,0.46411965775772807,0.49400931949048,0.52063205289601,0.540849175088293,0.564136362212634,0.58620875468908,0.607611491274712,0.6237760396926831,0.643941496537847,0.659259302473052,0.678852980834781,0.6936035035592251,0.707780002950312,0.7217358668341212,0.7370873171063113,0.7510431809901205,0.7636034584855488,0.7747681495925961,0.7845372543112625,0.7929107726415481,0.7998887045834526,0.8054710501369763,0.8096578093021191,0.8124489820788809,0.8138445684672618
SSP1,INDO,0.37635505946438286,0.4222683139901492,0.45244605367926594,0.4780815992996477,0.5060691357403638,0.5321168436833068,0.5569898393531227,0.5759570945152453,0.5975786138789109,0.618524149427009,0.638793923196387,0.6587163331859774,0.6779235479509582,0.6926957243299704,0.7111185519410115,0.7251604864910323,0.7406066144960551,0.7546485490460759,0.7672862901410946,0.7785198377811112,0.7883491919661257,0.7967743526961382,0.8037953199711485,0.8094120937911569,0.8136246741561631,0.8164330610661673,0.8178372545211694
SSP1,JAP,0.713305704279604,0.733859922337824,0.755295976262938,0.77267463826154,0.790081518983321,0.811369953563418,0.82422991090392,0.8410457668418859,0.853162238442452,0.86966015074754,0.8816562940118019,0.8936202076396749,0.905376538881925,0.912933371370413,0.924855035804107,0.932492269591721,0.9408932267580965,0.9485304605457106,0.9554039709545632,0.9615137579846544,0.9668598216359843,0.9714421619085527,0.9752607788023597,0.9783156723174053,0.9806068424536896,0.9821342892112124,0.9828980125899738
SSP1,KOR,0.744533175975615,0.764814187164605,0.785822693977158,0.803370231591814,0.825098877185055,0.842499653142947,0.860020411792191,0.88178385119673,0.8993145631920368,0.912672712491083,0.9303249838453781,0.943373451632972,0.9521099501239649,0.964669685340808,0.972922246291656,0.980930572762859,0.9897397318811822,0.9977480583523852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP1,ME,0.3846328400426966,0.4413380982146209,0.47770651734710357,0.510701427413413,0.5399725175693261,0.5683298958961551,0.592863179722764,0.6180774039924978,0.6402708483287881,0.6616543365155381,0.681725162190998,0.7011014491646926,0.718105789519698,0.7361280389258056,0.7512238023020888,0.76694828382478,0.7842452134997402,0.7999696950224313,0.8141217283928533,0.8267013136110063,0.83770845067689,0.8471431395905047,0.8550053803518503,0.8612951729609267,0.8660125174177341,0.8691574137222723,0.8707298618745414
SSP1,MEX,0.403702031150452,0.449543731269757,0.47984955125130907,0.508904101669879,0.536125977326262,0.561781179586587,0.585730671599151,0.603777947377206,0.625262748714885,0.646329465293371,0.666743255925209,0.686753084244134,0.702053467781303,0.721133364060714,0.73555927254285,0.754024094891329,0.774335399474656,0.792800221823135,0.8094185619367662,0.8241904198155494,0.8371157954594848,0.8481946888685722,0.8574271000428118,0.8648130289822034,0.8703524756867471,0.8740454401564429,0.8758919223912908
SSP1,NAF,0.3583261629789068,0.40501552516405226,0.4365715524571876,0.4685711545860045,0.4981703806764502,0.5266632638425536,0.5517741790156778,0.5771869516957139,0.601070374051378,0.6238961480320647,0.6451475177329891,0.6645738822154094,0.6805352417427609,0.6965600619734552,0.7140091155920224,0.7278168469912172,0.7430053515303314,0.7568130829295262,0.7692400411888015,0.7802862263081574,0.7899516382875937,0.7982362771271106,0.805140142826708,0.8106632353863858,0.8148055548061442,0.8175671010859832,0.8189478742259027
SSP1,OCE,0.7287396029959353,0.7538405092295363,0.772107131724887,0.789895387208273,0.8030458207892757,0.8196903844233443,0.8315154171092914,0.8466780781175431,0.8582928211001517,0.8699213914642614,0.8813268054218832,0.8925760305629338,0.900405364657351,0.9114624146827386,0.9180813343563755,0.9275661952237197,0.9379995421777985,0.9474844030451427,0.9560207778257526,0.963608666519628,0.970248069126769,0.9759389856471755,0.9806814160808477,0.9844753604277854,0.9873208186879887,0.9892177908614576,0.990166276948192
SSP1,RCAM,0.34732166115535423,0.4002471932936259,0.43101086735629107,0.45931140594683384,0.486843596226258,0.5121653333798982,0.5365979370748759,0.5599494270508094,0.5814078334406578,0.6019029929546409,0.6208435096855403,0.6395135094792048,0.6565712050582543,0.6738298930029082,0.6896767372735028,0.7049267609095747,0.7217017869092539,0.7369518105453259,0.7506768318177907,0.7628768507266482,0.7735518672718986,0.7827018814535418,0.7903268932715778,0.7964269027260066,0.8010019098168282,0.8040519145440426,0.8055769169076498
SSP1,RSAF,0.3277853558943366,0.3572976379830059,0.3766310206851089,0.3970116830016215,0.4148665183783372,0.4354101914215371,0.4553342547071203,0.475111495025689,0.4964149483462811,0.5155764959892075,0.5333051172712542,0.5527679022403216,0.5699162772411367,0.5863054602840965,0.6012398967308256,0.615632923901241,0.631465253788698,0.6458582809591135,0.6588120054124874,0.6703264271488197,0.6804015461681105,0.6890373624703598,0.6962338760555675,0.7019910869237337,0.7063089950748583,0.7091876005089415,0.710626903225983
SSP1,RSAM,0.39486922225402865,0.4520404273280009,0.48573089367955274,0.5174231840904135,0.5458376813130739,0.5732020746995619,0.5986284274389936,0.6222231938080887,0.6434799524663771,0.6641258837474707,0.68399180674398,0.7006596326633837,0.7179940552480554,0.7337447068485284,0.7486076318014183,0.76256313576908,0.7779141901335078,0.7918696941011695,0.8044296476720649,0.8155940508461943,0.8253629036235575,0.8337362060041544,0.8407139579879852,0.8462961595750499,0.8504828107653484,0.8532739115588807,0.8546694619556469
SSP1,RSAS,0.31956741122311194,0.361257330462129,0.38808222443523155,0.41567848752992814,0.44208654682801707,0.4695558316416732,0.4945609627836699,0.518654409397849,0.5439909598774737,0.5656430536888033,0.5887284957881129,0.6061657090618426,0.6266136788121635,0.6421095286195808,0.6579079047571137,0.6717590311215029,0.6869952701223311,0.7008463964867203,0.7133124102146706,0.724393311306182,0.7340890997612545,0.742399775579888,0.7493253387620826,0.7548657893078383,0.7590211272171551,0.7617913524900329,0.7631764651264719
SSP1,RUS,0.4657476175023148,0.5135544456804438,0.5362061620653087,0.5600930259905982,0.58232194682409,0.603294367356477,0.6195681528591503,0.6356497903528858,0.6550766675731063,0.6711140674957409,0.6901674126704395,0.7052945179693816,0.7200280379377999,0.73062641984663,0.7447082318386584,0.7541183716258167,0.7644695253916909,0.7738796651788492,0.7823487909872917,0.7898769028170184,0.7964640006680292,0.8021100845403243,0.8068151544339035,0.8105792103487668,0.8134022522849143,0.8152842802423459,0.8162252942210617
