Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
IMAGE 3.4,SSP2-Baseline,BRA,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,CAN,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,CEU,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,CHN,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,EAF,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,INDIA,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,INDO,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,JAP,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,ME,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,MEX,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,NAF,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,OCE,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,RCAM,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,RSAF,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,RSAM,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,RSAS,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,RUS,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,SAF,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,SEAS,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,STAN,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,TUR,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,UKR,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,USA,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,WAF,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,WEU,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
IMAGE 3.4,SSP2-Baseline,KOR,damage_elasticity,dimensionless,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
