Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,INDIA,GDP|PPP,billion US$2005/yr,3599.85205078125,6857.77783203125,12008.16015625,18739.6796875,27088.390625,36864.8203125,47710.73046875,58899.578125,69978.328125,80649.4765625
IMAGE,SSP3-Ref-SPA0-V17,INDIA,GDP|PPP,billion US$2005/yr,3599.85205078125,6910.623046875,11104.01953125,14935.0302734375,18583.439453125,22119.4609375,25714.859375,29303.380859375,32789.1796875,36331.94921875
IMAGE,SSP4-Ref-SPA0-V17,INDIA,GDP|PPP,billion US$2005/yr,3599.85205078125,6800.84423828125,11538.509765625,17254.509765625,23490.94921875,29897.439453125,35919.4609375,40939.83984375,44976.62109375,48124.078125
IMAGE,SSP5-Ref-SPA0-V17,INDIA,GDP|PPP,billion US$2005/yr,3599.85205078125,6845.1318359375,14188.48046875,27698.869140625,45820.48828125,66799.0234375,88620.9609375,108958.6015625,127299.6015625,142538.90625
IMAGE,SSP1-Ref-SPA0-V17,INDO,GDP|PPP,billion US$2005/yr,949.4943237304688,1741.300048828125,3390.9599609375,6011.27978515625,9050.935546875,12096.400390625,14738.08984375,16712.470703125,18070.990234375,18839.869140625
IMAGE,SSP2-Ref-SPA0-V17,INDO,GDP|PPP,billion US$2005/yr,949.4943237304688,1740.583984375,3024.1669921875,4574.14599609375,6319.119140625,8166.14404296875,10014.6796875,11820.2900390625,13597.009765625,15318.8798828125
IMAGE,SSP3-Ref-SPA0-V17,INDO,GDP|PPP,billion US$2005/yr,949.4943237304688,1746.3599853515625,2825.25,3750.820068359375,4527.18408203125,5142.8310546875,5633.81689453125,6054.1708984375,6434.3369140625,6806.673828125
IMAGE,SSP4-Ref-SPA0-V17,INDO,GDP|PPP,billion US$2005/yr,949.4943237304688,1769.0030517578125,3040.19091796875,4566.43896484375,6160.10595703125,7669.9912109375,8936.380859375,9888.1630859375,10598.9404296875,11089.740234375
IMAGE,SSP5-Ref-SPA0-V17,INDO,GDP|PPP,billion US$2005/yr,949.4943237304688,1797.8480224609375,3797.80908203125,7370.7109375,11792.919921875,16517.119140625,21056.109375,25056.609375,28555.740234375,31500.9296875
IMAGE,SSP1-Ref-SPA0-V17,JAP,GDP|PPP,billion US$2005/yr,3929.5,4331.30322265625,4999.0078125,5726.72900390625,6406.4228515625,7051.9482421875,7587.48681640625,7956.4150390625,8206.5029296875,8370.21484375
IMAGE,SSP2-Ref-SPA0-V17,JAP,GDP|PPP,billion US$2005/yr,3929.5,4300.36181640625,4741.84912109375,5025.4189453125,5294.01611328125,5604.1162109375,5915.93310546875,6195.4658203125,6476.2861328125,6763.0439453125
IMAGE,SSP3-Ref-SPA0-V17,JAP,GDP|PPP,billion US$2005/yr,3929.5,4241.7958984375,4488.55810546875,4406.72900390625,4192.8720703125,3948.43408203125,3676.029052734375,3381.114013671875,3131.930908203125,2919.322998046875
IMAGE,SSP4-Ref-SPA0-V17,JAP,GDP|PPP,billion US$2005/yr,3929.5,4341.84716796875,4967.9189453125,5619.23779296875,6176.93798828125,6670.490234375,7021.01416015625,7166.77978515625,7197.85107421875,7137.7431640625
IMAGE,SSP5-Ref-SPA0-V17,JAP,GDP|PPP,billion US$2005/yr,3929.5,4429.52001953125,5423.623046875,6755.60791015625,8221.671875,9922.0302734375,11818.919921875,13868.4697265625,16076.4501953125,18495.140625
IMAGE,SSP1-Ref-SPA0-V17,KOR,GDP|PPP,billion US$2005/yr,1348.47998046875,1913.092041015625,2615.364013671875,3222.535888671875,3659.6650390625,3952.0869140625,4141.27197265625,4249.3271484375,4286.68896484375,4246.96484375
IMAGE,SSP2-Ref-SPA0-V17,KOR,GDP|PPP,billion US$2005/yr,1348.47998046875,1899.2099609375,2517.635009765625,3013.887939453125,3388.263916015625,3653.032958984375,3828.928955078125,3964.949951171875,4070.302978515625,4136.5908203125
