Year,BRA,CAN,CEU,CHN,EAF,INDIA,INDO,JAP,KOR,ME,MEX,NAF,OCE,RCAM,RSAF,RSAM,RSAS,RUS,SAF,SEAS,STAN,TUR,UKR,USA,WAF,WEU
1834,0,3.66E-06,0.001198128,0,0,0,0,0,0,0,0,0,1.34E-05,0,0,0,0,0,0,0,0,0,0,0.003381872,0,0.084166092
1835,0,3.66E-06,0.001260416,0,0,0,0,0,0,0,0,0,1.95E-05,0,0,0,0,0,0,0,0,0,0,0.004316192,0,0.09179982
1836,0,3.66E-06,0.001454608,0,0,0,0,0,0,0,0,0,1.99E-05,0,0,0,0,0,0,0,0,0,0,0.004730224,0,0.100686102
1837,0,3.66E-06,0.001542544,0,0,0,0,0,0,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,0,0.005305472,0,0.099322436
1838,0,3.66E-06,0.0016488,0,0,0,0,0,0,0,0,0,2.71E-05,0,0,0,0,0,0,0,0,0,0,0.005030672,0,0.099135032
1839,0,3.66E-06,0.001821008,0,0,0,0,0,0,0,0,0,3.35E-05,0,0,0,0,0,0,0,0,0,0,0.005517984,0,0.10227689
1840,0,3.66E-06,0.002103136,0,0,0,0,0,0,0,0,0,4.76E-05,0,0,0,0,0,0,0,0,0,0,0.005873392,0,0.11078072
1841,0,3.66E-06,0.002282672,0,0,0,0,0,0,0,0,0,5.48E-05,0,0,0,0,0,0,0,0,0,0,0.006214144,0,0.11361025
1842,0,3.66E-06,0.002366944,0,0,0,0,0,0,0,0,0,6.28E-05,0,0,0,0,0,0,0,0,0,0,0.006917632,0,0.12003777
1843,0,3.66E-06,0.002333968,0,0,0,0,0,0,0,0,0,4.07E-05,0,0,0,0,0,0,0,0,0,0,0.007764016,0,0.122227054
1844,0,3.66E-06,0.002579456,0,0,0,0,0,0,0,0,0,3.64E-05,0,0,2.42E-05,0,0,0,0,0,0,0,0.00930656,0,0.130016218
1845,0,3.66E-06,0.002879904,0,0,0,0,0,0,0,0,0,3.51E-05,0,0,3.60E-05,0,0,0,0,0,0,0,0.011204512,0,0.140914153
1846,0,2.56E-05,0.003011808,0,0,0,0,0,0,0,0,0,6.13E-05,0,0,4.57E-05,0,0,0,0,0,0,0,0.012710416,0,0.141846944
1847,0,3.30E-05,0.00318768,0,0,0,0,0,0,0,0,0,6.41E-05,0,0,5.58E-05,0,0,0,0,0,0,0,0.015070032,0,0.15238613
1848,0,4.03E-05,0.003044784,0,0,0,0,0,0,0,0,0,7.15E-05,0,0,6.36E-05,0,0,0,0,0,0,0,0.016784784,0,0.153638516
1849,0,4.76E-05,0.00300448,0,0,0,0,0,0,0,0,0,7.63E-05,0,0,0.000116034,0,0,0,0,0,0,0,0.018221072,0,0.163582482
1850,0,5.86E-05,0.003205421,0,0,0,0,0,0,0,0,0,0.000112052,0,0,9.41E-05,0,7.17E-05,0,0,1.25E-05,0,2.64E-05,0.019792928,0,0.173473942
1851,0,6.96E-05,0.003733616,0,0,0,0,0,0,0,0,0,0.000106379,0,0,0.000110448,0,0,0,0,0,0,0,0.024633072,0,0.170125416
1852,0,8.43E-05,0.004473744,0,0,0,0,0,0,0,0,0,0.000106055,0,0,0.000180875,0,0,0,0,0,0,0,0.026791168,0,0.17595898
1853,0,0.000102592,0.004660608,0,0,0,0,0,0,0,0,0,0.000152321,0,0,0.000116529,0,0,0,0,0,0,0,0.030162048,0,0.18204287
1854,0,0.000124576,0.005213872,0,0,0,0,0,0,0,0,0,0.000183526,0,0,5.39E-06,0,0,0,0,0,0,0,0.033159198,0,0.216352002
1855,0,0.000150224,0.006084267,0,0,0,0,0,0,0,0,0,0.000215678,0,0,0.0001509,0,0.000217318,0,0,3.78E-05,0,7.99E-05,0.03816056,0,0.215163166
1856,0.000227193,0.000179536,0.006793056,0,0,0,0,0,0,0,7.97E-06,0,0.000298886,0.00038452,0,0.000329501,0,0,0,0,0,0,0,0.04003653,0,0.229988434
1857,0.000269048,0.000216176,0.007262048,0,0,0,0,0,0,0,7.33E-06,0,0.0003311,0.000360731,0,0.000611928,0,0,0,0,0,0,0,0.04105512,0,0.23106757
1858,0.000284547,0.000263808,0.008103249,0,0,0.000394488,0,0,0,0,1.55E-05,0,0.000340483,0.000338413,0,0.000678396,0,0.00030517,0,0,5.31E-05,0,0.000112242,0.04164869,0,0.233010342
1859,0.000372714,0.000315104,0.007898861,0,0,0.000636485,0,0,0,0,7.98E-06,0,0.000484948,0.000317476,0,0.000385955,0,0.000323665,0,0,5.63E-05,0,0.000119044,0.045320016,0,0.246333614
1860,0.000434898,0.000381056,0.008680108,0,0,0.000643115,0,0,0,0,5.04E-06,0,0.000599769,0.000297835,0,0.000598104,0,0.0004277,0,0,7.44E-05,0,0.000157309,0.04743781,0,0.272561294
1861,0.000410068,0.000458,0.009538795,0,0,0.000497254,0,0,0,0,1.17E-05,0,0.000560575,0.000442156,0,0.000540426,0,0.000543295,0,0,9.45E-05,0,0.000199824,0.04567909,0,0.290214449
1862,0.000355327,0.000560592,0.011489418,0,0,0.000550294,0,0,0,0,3.28E-05,0,0.000787635,0.000592261,0,0.000521817,0,0.000490121,0,0,8.53E-05,0,0.000180267,0.0474488,0,0.292896494
