,CAN,USA,MEX,RCAM,BRA,RSAM,NAF,WAF,EAF,SAF,WEU,CEU,TUR,UKR,STAN,RUS,ME,INDIA,KOR,CHN,SEAS,INDO,JAP,OCE,RSAS,RSAF
kappa,1.2973066045304298,1.1348533106481244,0.8840466444790166,1.1026612435699132,0.3116989788051454,0.36719382223452524,2.796834159790136,0.6225149970071767,0.9211434845734101,0.7551912986950062,1.8381684356265857,1.2678865688592549,1.8545608865941168,1.2858379026001585,2.8142673296253577,2.183619518092446,1.7580678076488498,1.0004322212831716,1.2534084734385071,0.8577975355484738,1.1504625044079755,1.0162308138810356,1.0143158272730597,0.60853101353745,1.2044182230496223,1.5073324739290785
init_capital_factor,1.992281131714169,2.0350584697512586,1.893321869667682,1.0411707321958783,1.9725943276674072,2.0046266989242474,1.7984660798574714,1.4158909158876698,1.6599988638859533,2.054227591658093,1.942214912925112,1.6652652998191046,1.5325751251674002,2.095123816359597,1.2805785459786894,1.5092277320317415,2.026426883056528,1.85862193281647,2.433836296428044,2.174906050186901,2.37630529733213,1.7143590841916243,2.627319588904483,2.1755384996743925,1.7454595076983586,2.3174467119008417
