IMAGE region code,IMAGE region name,Code,2010,2011,2012,2013
1,Canada,CAN,1.979972928010412,1.9737896499401553,1.985271681174707,1.9922811317141695
2,USA,USA,2.160522121348751,2.11927444765336,2.063989226813796,2.0350584697512586
3,Mexico,MEX,1.789565686246226,1.7621816978273939,1.8088023820448116,1.8933218696676821
4,Central America,RCAM,1.0531576412193828,1.04350473652542,1.0375920990053191,1.0411707321958785
5,Brazil,BRA,1.8955036808370194,1.9138307918887543,1.9658085205762486,1.9725943276674072
6,Rest of South-America,RSAM,1.9957725827479842,1.955222101979391,1.9765366849876407,2.0046266989242474
7,North Africa,NAF,1.7069746781314379,1.7633070046371457,1.7908775995230775,1.7984660798574714
8,West Africa,WAF,1.4192434224884058,1.410147586164986,1.4008567416838764,1.4158909158876698
9,East Africa,EAF,1.6091272390271099,1.6152028348031555,1.6386992482754899,1.6599988638859533
10,South Africa,SAF,2.4168294207870953,2.3765870395072364,2.3223788421014815,2.3174467119008417
11,West Europe,WEU,1.98186271865787,1.9484781035247782,1.9540424675122314,1.9422149129251118
12,Central Europe,CEU,1.6471878761152758,1.635440232016962,1.6624937436566987,1.6652652998191046
13,Turkey,TUR,1.5389830266267144,1.474690822265421,1.5243865716811182,1.5325751251674002
14,Ukraine,UKR,2.3962040837796232,2.215315342365125,2.162088713106307,2.095123816359597
15,Kazachstan,STAN,1.4073116798047385,1.3511499997714547,1.3137674480712511,1.2805785459786894
16,Russia,RUS,1.5983250851060724,1.5462471234981978,1.5147323379362412,1.5092277320317415
17,Middle East,ME,1.8816196369214382,1.9058505253092057,2.056593576511384,2.0264268830565277
18,India,INDIA,1.6979444684731575,1.7364194830542137,1.8014377550987681,1.8586219328164701
19,Korea,KOR,2.4728847015529793,2.45268291132349,2.4569947391770315,2.4338362964280438
20,China+,CHN,2.005206509510348,2.0507189999280064,2.1165660295459494,2.174906050186901
21,South East Asia,SEAS,2.411186022556838,2.4289188096383576,2.385103917445221,2.37630529733213
22,Indonesia,INDO,1.7584475150885497,1.7341307443226075,1.7179976744615246,1.7143590841916245
23,Japan,JAP,2.805926029675311,2.7775941730433504,2.699879753517329,2.627319588904483
24,Oceania,OCE,2.1057126290178743,2.129462298659761,2.136190741339796,2.1755384996743925
25,Rest of South Asia,RSAS,1.7607751630396884,1.758036281461576,1.7443167158724504,1.7454595076983586
26,Rest of South Africa,RSAF,1.9862004232053658,1.9975136074905373,2.019264015703811,2.054227591658093
