region,NoSLR_form,NoSLR_b1,NoSLR_b2,NoSLR_b3,NoSLR_a (q=0.025),NoSLR_a (q=0.05),NoSLR_a (q=0.16),NoSLR_a (q=0.25),NoSLR_a (q=0.5),NoSLR_a (q=0.75),NoSLR_a (q=0.84),NoSLR_a (q=0.95),NoSLR_a (q=0.975),SLR-NoAd_form,SLR-NoAd_b1,SLR-NoAd_b2,SLR-NoAd_b3,SLR-NoAd_a (q=0.025),SLR-NoAd_a (q=0.05),SLR-NoAd_a (q=0.16),SLR-NoAd_a (q=0.25),SLR-NoAd_a (q=0.5),SLR-NoAd_a (q=0.75),SLR-NoAd_a (q=0.84),SLR-NoAd_a (q=0.95),SLR-NoAd_a (q=0.975),SLR-Ad_form,SLR-Ad_b1,SLR-Ad_b2,SLR-Ad_b3,SLR-Ad_a (q=0.025),SLR-Ad_a (q=0.05),SLR-Ad_a (q=0.16),SLR-Ad_a (q=0.25),SLR-Ad_a (q=0.5),SLR-Ad_a (q=0.75),SLR-Ad_a (q=0.84),SLR-Ad_a (q=0.95),SLR-Ad_a (q=0.975),combined_b1_NoAd,combined_b2_NoAd,combined_b1_NoAd-q0.025,combined_b2_NoAd-q0.025,combined_b1_NoAd-q0.05,combined_b2_NoAd-q0.05,combined_b1_NoAd-q0.16,combined_b2_NoAd-q0.16,combined_b1_NoAd-q0.25,combined_b2_NoAd-q0.25,combined_b1_NoAd-q0.33,combined_b2_NoAd-q0.33,combined_b1_NoAd-q0.5,combined_b2_NoAd-q0.5,combined_b1_NoAd-q0.67,combined_b2_NoAd-q0.67,combined_b1_NoAd-q0.75,combined_b2_NoAd-q0.75,combined_b1_NoAd-q0.84,combined_b2_NoAd-q0.84,combined_b1_NoAd-q0.95,combined_b2_NoAd-q0.95,combined_b1_NoAd-q0.975,combined_b2_NoAd-q0.975,combined_b1_Ad,combined_b2_Ad,combined_b1_Ad-q0.025,combined_b2_Ad-q0.025,combined_b1_Ad-q0.05,combined_b2_Ad-q0.05,combined_b1_Ad-q0.16,combined_b2_Ad-q0.16,combined_b1_Ad-q0.25,combined_b2_Ad-q0.25,combined_b1_Ad-q0.33,combined_b2_Ad-q0.33,combined_b1_Ad-q0.5,combined_b2_Ad-q0.5,combined_b1_Ad-q0.67,combined_b2_Ad-q0.67,combined_b1_Ad-q0.75,combined_b2_Ad-q0.75,combined_b1_Ad-q0.84,combined_b2_Ad-q0.84,combined_b1_Ad-q0.95,combined_b2_Ad-q0.95,combined_b1_Ad-q0.975,combined_b2_Ad-q0.975
I_NAF,Robust-Quadratic,0.52858,1.52342,,-0.7434,-0.50882,0.2745,0.41696,1.00003,1.57581,1.97158,2.43912,2.54255,Robust-Linear,12.65691,,,0.37092,0.56602,0.74316,0.84852,0.99997,1.11488,1.16925,1.29529,1.33933,Robust-Linear,6.43764,,,0.45698,0.5089,0.87986,0.91323,1.00193,1.16671,1.21028,1.36569,1.4812,2.08399,1.70827,0.18,-1.0614,0.60765,-0.66792,1.29931,0.55647,1.53871,0.79311,1.73279,1.05563,2.08399,1.70827,2.36254,2.15286,2.56887,2.60602,2.86288,3.21537,3.30778,3.95158,3.43136,4.11769,1.32305,1.6166,-0.0349,-1.08729,0.13097,-0.72535,0.84054,0.5012,0.94277,0.72131,1.04333,0.97257,1.32305,1.6166,1.51834,2.05115,1.75967,2.50853,2.00369,3.11187,2.37567,3.83929,2.52208,4.00814
I_OCE,Robust-Quadratic,0.35076,0.91765,,-0.42887,-0.28751,0.25768,0.56626,0.99891,1.3318,1.62446,1.97103,2.0678,Robust-Quadratic,3.64771,19.35672,,0.45412,0.5511,0.76744,0.84163,0.99753,1.20614,1.33011,1.69294,1.96667,Robust-Linear,2.18822,,,0.42879,0.59124,0.82055,0.87154,0.99248,1.15749,1.26427,1.46963,1.55322,0.55682,1.55338,-0.05717,-0.10318,0.01192,0.08655,0.24845,0.72557,0.37215,1.05571,0.43187,1.21651,0.55682,1.55338,0.6637,1.84561,0.71665,1.99135,0.845,2.33867,1.04176,2.88866,1.13116,3.14908,0.61751,0.94832,-0.03577,-0.37955,0.05755,-0.24454,0.31074,0.26284,0.43289,0.54744,0.4983,0.67844,0.61751,0.94832,0.73428,1.16028,0.77874,1.25874,0.91022,1.53043,1.08724,1.85513,1.14362,1.9464
I_RSAF,Robust-Quadratic,0.36321,1.47698,,0.49649,0.5454,0.68385,0.78774,1.00079,1.19909,1.30422,1.66828,1.82924,Robust-Quadratic,3.67256,9.81557,,0.27188,0.41613,0.65363,0.79716,0.99692,1.23764,1.32314,1.60021,1.78092,Robust-Linear,1.73442,,,0.24503,0.54191,0.7066,0.79374,0.9936,1.18748,1.34548,1.53247,1.74113,0.68936,1.82676,0.2683,0.82934,0.33405,0.95354,0.46208,1.23935,0.54695,1.44312,0.59805,1.57166,0.68936,1.82676,0.79302,2.09015,0.84078,2.20618,0.90638,2.38953,1.12948,3.02691,1.24706,3.32786,0.57024,1.50536,0.23033,0.74105,0.31141,0.82269,0.39571,1.03004,0.45155,1.18612,0.49696,1.28914,0.57024,1.50536,0.65174,1.71649,0.68321,1.8061,0.75406,1.96374,0.92502,2.50943,1.02716,2.75293
I_RSAS,Robust-Quadratic,2.78439,0.89029,,0.04299,0.12527,0.48588,0.61287,0.99938,1.26213,1.38814,1.6847,1.78818,Robust-Quadratic,5.47657,-14.29198,,-0.23563,-0.11734,0.26374,0.50554,0.99891,1.35392,1.45351,1.68948,1.82387,OLS-Logistic,24.61953,-190.84356,-90.88333,0.49181,0.56145,0.65192,0.75849,0.93489,1.30147,1.35812,1.47235,1.50629,3.62678,0.54226,-0.08041,0.12071,0.24922,0.1526,1.57591,0.34083,2.14497,0.36522,2.64813,0.42323,3.62678,0.54226,4.35137,0.62747,4.66037,0.65223,5.09787,0.72849,6.13778,0.90479,6.52253,0.95725,2.84369,0.89796,0.14468,0.04132,0.37669,0.115,1.38599,0.43699,1.74412,0.55072,2.11196,0.66739,2.84369,0.89796,3.41383,1.07129,3.6454,1.14066,4.02184,1.25596,4.90661,1.52748,5.25599,1.6271
I_SEAS,Robust-Quadratic,2.18222,0.9256,,-0.53713,-0.25282,0.38982,0.49963,0.99948,1.38571,1.69467,1.96162,2.09425,Robust-Linear,15.74458,,,0.49316,0.56545,0.71358,0.81115,1.00094,1.13638,1.19708,1.41281,1.58681,Robust-Linear,9.28594,,,0.47548,0.52429,0.88182,0.90794,1.00066,1.11987,1.2,1.3237,1.41775,4.11009,1.15912,-0.21889,-0.38332,0.54037,-0.10292,2.22746,0.52748,2.65501,0.65192,3.12727,0.80869,4.11009,1.15912,4.84137,1.41255,5.21541,1.54955,6.00482,1.84959,7.00479,2.14796,7.62998,2.31148,3.31717,1.0636,-0.62954,-0.4328,0.04576,-0.16251,1.85394,0.48248,2.1229,0.58781,2.47145,0.72968,3.31717,1.0636,3.92647,1.30233,4.29676,1.43887,5.06023,1.73579,5.78459,2.00095,6.18098,2.13691
I_SSA,Robust-Quadratic,2.30567,1.62179,,0.46936,0.53274,0.72098,0.80844,0.99962,1.17305,1.2625,1.39806,1.45535,Robust-Linear,-1.56273,,,2.71134,2.53582,1.9505,1.65624,1.00009,-0.54026,-0.99403,-1.4191,-1.5568,Robust-Linear,-0.6088,,,1.88143,1.75442,1.48871,1.41236,1.04025,-0.52579,-0.95758,-1.54903,-1.81866,2.1177,1.59635,0.56438,0.69749,0.74356,0.80361,1.29117,1.1225,1.55006,1.2713,1.7448,1.38499,2.1177,1.59635,2.52309,1.78235,2.81122,1.91128,3.10565,2.06726,3.49892,2.29575,3.65786,2.39188,2.23167,1.61008,0.94343,0.74316,1.09847,0.84637,1.55377,1.15414,1.76197,1.29683,1.92657,1.40689,2.23167,1.61008,2.5426,1.7847,2.74695,1.90354,2.98667,2.05293,3.34265,2.27692,3.49533,2.3723
I_USA,Robust-Quadratic,0.47114,0.44841,,0.36916,0.46668,0.68746,0.75725,0.99969,1.29323,1.47659,1.74369,1.82237,Robust-Quadratic,2.54939,20.85329,,0.29133,0.43361,0.70947,0.82467,1.00026,1.21784,1.3408,1.57008,1.72884,Robust-Linear,1.38558,,,0.21403,0.35055,0.75779,0.85778,1.00655,1.16583,1.1889,1.40847,1.44048,0.52992,1.11041,0.19124,0.35869,0.24554,0.49671,0.36575,0.77823,0.40532,0.88571,0.43627,0.95066,0.52992,1.11041,0.62713,1.28884,0.68109,1.38596,0.77472,1.54952,0.9138,1.82093,0.96062,1.96254,0.6428,0.46833,0.21065,0.16977,0.27987,0.21625,0.45324,0.32345,0.50311,0.3567,0.53946,0.38391,0.6428,0.46833,0.75269,0.55527,0.80839,0.60305,0.8988,0.68559,1.06184,0.80941,1.1048,0.84567
I_WEU,Robust-Quadratic,0.22981,0.42948,,0.19745,0.31348,0.59697,0.73379,1.00053,1.41021,1.61297,2.44914,2.67363,Robust-Linear,1.18319,,,-0.08835,-0.06012,0.06551,0.19737,0.95973,5.30571,6.2492,7.45499,7.92574,OLS-Logistic,0.27858,23.42604,18.39987,0.02513,0.02615,0.0343,0.03992,0.27972,1.94695,2.06018,2.45163,3.12795,0.37028,0.44605,0.03277,0.08315,0.06367,0.13344,0.14728,0.25712,0.19809,0.31828,0.23374,0.34959,0.37028,0.44605,0.89563,0.62186,1.09506,0.69724,1.27884,0.8009,1.64649,1.18004,1.76649,1.28434,0.24914,0.43145,0.04801,0.08498,0.07493,0.13479,0.14096,0.25636,0.17308,0.31527,0.18939,0.34424,0.24914,0.43145,0.47416,0.57108,0.50533,0.6262,0.57602,0.71623,0.80557,1.07873,0.86143,1.1753
R_CAZ,Robust-Quadratic,0.44078,0.62837,,-0.0472,0.10558,0.50142,0.61054,0.99925,1.49016,1.82413,2.17411,2.27813,Robust-Quadratic,2.78243,28.68021,,0.46562,0.54794,0.73565,0.82616,0.99965,1.19777,1.30602,1.57012,1.72385,Robust-Linear,2.44911,,,0.34138,0.4824,0.82541,0.86945,0.99683,1.15331,1.21652,1.3896,1.50292,0.42143,1.53433,-0.02485,0.39044,0.04022,0.56034,0.20888,0.98129,0.25594,1.13325,0.29867,1.24742,0.42143,1.53433,0.56307,1.84784,0.63368,2.02812,0.77653,2.33605,0.92425,2.79573,0.96779,3.00116,0.73047,0.66943,0.08219,-0.0175,0.1904,0.08435,0.4639,0.34723,0.52506,0.41925,0.5789,0.48409,0.73047,0.66943,0.903,0.88273,0.99165,0.98973,1.15452,1.2034,1.35678,1.43044,1.43586,1.50072
R_CHA,Robust-Quadratic,1.37458,-0.06432,,-0.72883,-0.41598,0.37495,0.60032,1.00093,1.44087,1.56472,1.76183,1.89776,Robust-Quadratic,10.00897,5.00699,,0.69183,0.71941,0.74976,0.78807,0.99812,1.2263,1.37547,1.5862,1.75556,Robust-Linear,2.51448,,,0.6486,0.66166,0.74651,0.80867,0.99653,1.27581,1.52343,2.12185,2.36103,2.54104,0.22773,-0.20302,0.25864,0.26116,0.24471,1.39095,0.19738,1.7474,0.19325,2.05663,0.19944,2.54104,0.22773,3.12076,0.25592,3.42405,0.26441,3.76454,0.30035,4.29509,0.34907,4.66374,0.39062,1.6866,-0.03376,-0.80827,0.07582,-0.37213,0.05413,0.7493,0.00109,1.079,-0.01254,1.33689,-0.0223,1.68659,-0.03376,2.14721,-0.04558,2.38977,-0.05505,2.63334,-0.05444,3.10201,-0.04679,3.34828,-0.04676
R_EUR,Robust-Quadratic,0.23857,0.4657,,0.19078,0.31039,0.59554,0.73781,0.99732,1.40946,1.59239,2.42153,2.61757,Robust-Quadratic,-0.24575,7.57513,,-0.35765,-0.31373,-0.18151,-0.05069,0.91739,3.68757,4.62812,6.57514,7.19084,Robust-Linear,0.16411,,,-0.62933,-0.57341,-0.49702,-0.48425,0.86809,8.96207,9.83576,11.70293,11.90117,0.34396,0.4805,-0.03677,0.07943,0.01119,0.13754,0.12229,0.27659,0.16653,0.34446,0.19278,0.38449,0.34396,0.4805,0.90036,0.66582,1.07901,0.75009,1.26573,0.85335,1.61681,1.25879,1.76371,1.36275,0.25279,0.46952,0.03228,0.08775,0.06146,0.1436,0.13035,0.27756,0.16412,0.34417,0.1848,0.38353,0.25279,0.46952,0.47048,0.61404,0.51267,0.68186,0.57353,0.76995,0.80573,1.16107,0.85595,1.25339
R_IND,Robust-Quadratic,2.31782,1.66423,,-0.17824,-0.09273,0.33376,0.4716,1.00028,1.29883,1.49062,1.86108,2.00703,Robust-Quadratic,5.90382,-11.26959,,0.32757,0.37628,0.50876,0.63328,1.00152,1.26046,1.34281,1.63513,1.79604,Robust-Linear,1.24502,,,0.64235,0.67918,0.74444,0.80295,0.99338,1.35073,1.53212,2.08472,2.26027,2.73192,1.70926,-0.29828,-0.28199,-0.07216,-0.1367,0.95365,0.57566,1.31146,0.80902,1.69391,1.05405,2.73192,1.70926,3.27116,2.01113,3.62279,2.22975,4.11756,2.55393,5.05105,3.17667,5.45387,3.42583,2.47452,1.67825,-0.31608,-0.28413,-0.11177,-0.14147,0.88915,0.56789,1.21829,0.79779,1.56123,1.03807,2.47452,1.67825,2.90987,1.9676,3.22445,2.18176,3.69744,2.50332,4.64064,3.12723,5.00511,3.37176
R_JON,Robust-Quadratic,0.07078,0.81882,,0.25389,0.31912,0.55957,0.67435,1.00054,1.34583,1.66611,2.21681,2.36185,Robust-Quadratic,-4.16645,167.04433,,0.41725,0.45276,0.71299,0.79068,1.00043,1.20528,1.35253,1.68667,1.82717,Robust-Linear,3.3664,,,0.30496,0.34484,0.70489,0.87141,1.00336,1.14709,1.21017,1.35828,1.37605,4.2831,1.32837,0.34213,0.24724,0.50364,0.3197,1.45064,0.62921,2.10866,0.80209,2.83509,0.97854,4.2831,1.32837,5.23658,1.63565,5.75797,1.78679,6.3327,2.11671,7.45183,2.69834,8.29416,2.91735,0.48281,0.87053,0.14329,0.22329,0.16423,0.27881,0.32936,0.49412,0.406,0.59696,0.43172,0.689,0.48281,0.87053,0.53279,1.06897,0.56587,1.16128,0.61394,1.42775,0.71285,1.88647,0.73012,2.00608
R_LAM,Robust-Quadratic,0.69807,0.63756,,-2.65036,-2.17405,-0.17285,0.21882,1.00068,1.39084,1.8051,2.14901,2.26197,Robust-Quadratic,4.06007,2.68187,,0.28238,0.49046,0.69395,0.78661,1.00082,1.20955,1.29344,1.57397,1.77537,Robust-Linear,1.29019,,,0.49862,0.5607,0.69222,0.80633,0.99098,1.29487,1.47151,1.82606,1.93823,1.16099,0.77977,-1.71336,-1.6537,-1.28543,-1.3203,0.20208,-0.01288,0.51763,0.25042,0.76763,0.45142,1.16099,0.77977,1.36834,0.93379,1.52947,1.05825,1.85867,1.33652,2.2281,1.59549,2.39934,1.69526,0.85284,0.65791,-1.76577,-1.68394,-1.42465,-1.37861,-0.01086,-0.0973,0.27986,0.15519,0.48636,0.34251,0.85284,0.65791,1.03568,0.79822,1.17221,0.91277,1.49043,1.18262,1.78565,1.40891,1.88129,1.48256
R_MEA,Robust-Quadratic,0.77406,0.42671,,-0.38953,-0.17631,0.38084,0.56953,1.00138,1.65811,2.02581,2.51485,2.65799,Robust-Quadratic,6.2586,24.30472,,0.45117,0.5439,0.73104,0.82548,1.00052,1.16006,1.22793,1.42389,1.52435,Robust-Linear,3.83899,,,0.43834,0.51637,0.88135,0.90648,1.00661,1.16864,1.22803,1.35782,1.46244,1.25309,1.24541,-0.08726,0.20148,0.12197,0.36802,0.64362,0.76015,0.83449,0.9172,0.99935,1.04172,1.25309,1.24541,1.5986,1.48969,1.83744,1.65527,2.15447,1.86783,2.62604,2.2351,2.78372,2.37674,1.2495,0.48415,-0.09537,-0.14124,0.10647,-0.04591,0.70973,0.21233,0.86776,0.29425,1.01033,0.36986,1.2495,0.48415,1.56982,0.65136,1.83438,0.77336,2.14669,0.93328,2.58685,1.14934,2.74664,1.21614
R_NEU,Robust-Quadratic,0.21119,0.06203,,-0.80069,-0.45084,0.08795,0.33126,1.00112,2.80547,3.66369,5.02177,5.73475,Robust-Quadratic,2.72681,23.99757,,0.41276,0.52697,0.73567,0.82001,1.0002,1.20052,1.31644,1.53283,1.67983,Robust-Linear,2.27652,,,0.27834,0.38682,0.71694,0.86698,0.99827,1.15146,1.18574,1.35663,1.38382,0.25319,0.82242,-0.15242,0.2645,-0.07375,0.37287,0.04891,0.56489,0.10387,0.64321,0.15958,0.69715,0.25319,0.82242,0.42493,0.96227,0.64304,1.08597,0.82988,1.22685,1.125,1.47494,1.28249,1.63076,0.49062,0.09545,-0.09173,-0.0401,0.01251,-0.01486,0.21871,0.02954,0.31212,0.04963,0.37132,0.06595,0.49062,0.09545,0.67515,0.14628,0.91499,0.21199,1.10665,0.2663,1.44055,0.35559,1.59958,0.40072
