region,labourprod_adapt_eff_cost_param,labourprod_adapt_eff_max_effectiveness,labourprod_noadapt_ead_constant,labourprod_noadapt_ead_linear,riverine_adapt_eff_cost_param,riverine_adapt_eff_max_effectiveness,riverine_noadapt_ead_constant,riverine_noadapt_ead_linear,riverine_noadapt_ead_quadr,slr_adapt_eff_cost_param,slr_adapt_eff_max_effectiveness,slr_noadapt_ead_constant,slr_noadapt_ead_power,slr_noadapt_ead_prod
BRA,15.356903162766088,0.2205317767947279,0.0011032063208748,0.0107702838994101,876.122246090161,0.8067217038248586,0.002875546970889,0.0002137519473172,9.08552180306774e-05,8019.045032779652,0.8865570585735243,0.0017849829017705,0.2000000968770955,0.0008173039611296
CAN,838.5873730137672,0.227089313647887,-0.0194372235593481,0.0203491469047994,2630.467058292302,0.8304885942948373,0.0025267960301214,0.0005920187529054,3.2086430065311418e-06,3487.8684534099552,0.8867956261769151,0.0001673247075502,0.9191902373445224,0.0049919457645831
CEU,377.68296122971697,0.2224121054555724,-0.0086475807293061,0.0099977998796439,717.1314968643513,0.7900750049871182,0.0009752654517803,0.0017934271249905,2.487874555367783e-07,69905.8140181293,0.899065019386321,1.071490199261537e-08,0.5938599515638894,0.0051330267960121
CHN,14.466311268015986,0.263412221333946,0.0022673282537805,0.0167680563997111,51.35145815049728,0.9230481109369963,-0.003234919583104,0.0055835271255141,1.164313470575392e-06,887.4085203071864,0.9999999999999999,0.0004912137338511,2.2443527106820764,0.0269906285464986
EAF,2224.9360268756013,0.1540472815151795,-0.027837502228579,0.0275339447166973,127.69661367738156,1.0,-0.0103542990477461,0.041511375293567,2.307961440325777e-11,1544828.5979133307,0.6513519682397816,0.0007781817961854,2.484906619150673,0.0018810439438053
INDIA,34.137353377790326,0.2015598390099642,-0.0066095488289702,0.0112843052231261,139.37356649090054,0.963600249295487,-0.0065671307371021,0.0117824218918054,2.200220921464221e-07,3284.3764885773835,0.9999999999999999,0.0004801181471566,2.3965105064034327,0.0175543590156501
INDO,134.23136210074065,0.2036562959076931,-0.0090731967155753,0.012926499796843,440.81056874105144,0.9489014085557342,-0.0069026496611051,0.0099896653049904,7.759260517043242e-08,17159.828931977532,0.8563016310256351,2.7644376071522185e-21,0.5043162346193282,0.0431401843131076
JAP,38.0253193882184,0.2299845262013225,-0.0102049920300403,0.0176184861218931,1726.4796604299656,0.7724704667817323,0.0004499321440659,0.0010333066506763,1.667160845482554e-06,1497.2556279016835,0.9856473425984393,0.0011475879620706,1.5440565832439683,0.07109071411266
KOR,99.55317334635689,0.2463991924313725,-0.029250375460175,0.0317020492288558,2704.3123665110315,0.8571176855973263,-0.0010282444927796,0.0014025626506789,2.521805572881512e-06,1755.665659695156,0.9697531721648793,4.195655494730205e-07,1.4571336390279854,0.0741388379981829
ME,19.612526277771433,0.162526762076158,-0.0118777769726499,0.0189531667639704,787.9778042236164,0.8874978604564417,0.0001228177379969,0.0004279693382287,6.028196042312796e-06,41952.21125407059,0.9649210917867221,1.6819118508323936e-15,0.4808949608393776,0.0222063953819467
