region,a1,a2,a3,g1,g2
JAPAN,-0.0028,0.0012,2.65,0.031,3.26
USA,-0.001,0.0004,4.06,0.016,10.21
EUROPE,-0.0002,0.0046,2.29,0.341,4.24
HIO,0,0.007,1.53,0.315,5.19
MI,0,0.00587,1.49,0.216,3.97
RUSSIA,0,0,2,0,2
LMI,0,0.00571,1.85,0.332,5.06
EE,0,0,2,0,2
LI,0,0.01091,1.55,0.502,5.18
CHINA,-0.0022,0.00064,2.97,0.0225,6.29
INDIA,0,0.01512,1.7,0.783,5.28
AFRICA,0,0.02152,1.21,0.751,5.12
